customer_id,full_name,phone,city,registered_at,status
47,Customer 00047,+447700000047,Cardiff,2025-10-23,blocked
48,Customer 00048,+447700000048,Leeds,2025-08-31,blocked
49,Customer 00049,+447700000049,Leeds,2025-02-18,active
50,Customer 00050,+447700000050,Liverpool,2025-07-01,blocked
51,Customer 00051,+447700000051,Liverpool,2025-08-28,active
52,Customer 00052,+447700000052,Manchester,2025-02-01,blocked
53,Customer 00053,+447700000053,Bristol,2025-02-25,active
54,Customer 00054,+447700000054,Leeds,2025-04-08,blocked
55,Customer 00055,+447700000055,Birmingham,2025-08-05,active
56,Customer 00056,+447700000056,Glasgow,2025-08-25,active
57,Customer 00057,+447700000057,Manchester,2025-08-15,active
58,Customer 00058,+447700000058,London,2025-11-30,active
59,Customer 00059,+447700000059,Manchester,2026-01-21,active
60,Customer 00060,+447700000060,Birmingham,2025-07-28,blocked
61,Customer 00061,+447700000061,Edinburgh,2025-04-20,blocked
62,Customer 00062,+447700000062,London,2025-03-26,blocked
63,Customer 00063,+447700000063,London,2025-07-19,active
64,Customer 00064,+447700000064,Edinburgh,2025-05-27,blocked
65,Customer 00065,+447700000065,Sheffield,2025-12-05,blocked
66,Customer 00066,+447700000066,Birmingham,2025-04-08,active
67,Customer 00067,+447700000067,Leeds,2025-01-30,active
68,Customer 00068,+447700000068,Bristol,2025-01-30,active
69,Customer 00069,+447700000069,Cardiff,2025-09-02,active
70,Customer 00070,+447700000070,London,2025-09-18,active
71,Customer 00071,+447700000071,Birmingham,2025-02-05,active
72,Customer 00072,+447700000072,Leeds,2025-07-26,active
73,Customer 00073,+447700000073,Cardiff,2025-05-07,active
74,Customer 00074,+447700000074,Cardiff,2025-02-11,blocked
75,Customer 00075,+447700000075,Cardiff,2025-10-17,active
76,Customer 00076,+447700000076,Glasgow,2025-04-15,active
77,Customer 00077,+447700000077,Leeds,2025-05-16,blocked
78,Customer 00078,+447700000078,Birmingham,2025-12-10,active
79,Customer 00079,+447700000079,Edinburgh,2025-06-11,active
80,Customer 00080,+447700000080,London,2025-08-23,active
81,Customer 00081,+447700000081,Manchester,2025-10-03,active
82,Customer 00082,+447700000082,Sheffield,2025-05-16,active
83,Customer 00083,+447700000083,Bristol,2025-02-05,active
84,Customer 00084,+447700000084,Bristol,2025-05-26,active
85,Customer 00085,+447700000085,Edinburgh,2025-10-06,active
86,Customer 00086,+447700000086,Cardiff,2025-12-01,active
87,Customer 00087,+447700000087,Sheffield,2025-06-03,active
88,Customer 00088,+447700000088,Birmingham,2025-05-16,active
89,Customer 00089,+447700000089,Manchester,2026-01-16,active
90,Customer 00090,+447700000090,Glasgow,2025-05-25,active
91,Customer 00091,+447700000091,Bristol,2025-04-15,active
92,Customer 00092,+447700000092,Sheffield,2025-09-08,active
93,Customer 00093,+447700000093,London,2025-02-17,blocked
94,Customer 00094,+447700000094,Glasgow,2025-01-23,active
95,Customer 00095,+447700000095,Bristol,2026-01-30,active
96,Customer 00096,+447700000096,Glasgow,2025-03-24,blocked
97,Customer 00097,+447700000097,Sheffield,2025-12-28,blocked
98,Customer 00098,+447700000098,Sheffield,2025-01-05,active
99,Customer 00099,+447700000099,Manchester,2025-12-20,active
100,Customer 00100,+447700000100,Sheffield,2025-01-19,active
101,Customer 00101,+447700000101,Cardiff,2025-10-10,active
102,Customer 00102,+447700000102,Liverpool,2025-03-07,active
103,Customer 00103,+447700000103,Glasgow,2025-07-06,active
104,Customer 00104,+447700000104,Bristol,2025-04-18,active
105,Customer 00105,+447700000105,Manchester,2025-07-01,blocked
106,Customer 00106,+447700000106,Cardiff,2026-01-19,active
107,Customer 00107,+447700000107,Leeds,2025-03-25,active
108,Customer 00108,+447700000108,Liverpool,2025-01-13,active
109,Customer 00109,+447700000109,Bristol,2026-02-05,blocked
110,Customer 00110,+447700000110,Leeds,2025-05-17,active
111,Customer 00111,+447700000111,Manchester,2025-07-15,active
112,Customer 00112,+447700000112,Edinburgh,2025-04-24,active
113,Customer 00113,+447700000113,Edinburgh,2025-06-29,active
114,Customer 00114,+447700000114,Leeds,2025-04-25,active
115,Customer 00115,+447700000115,Leeds,2025-07-24,active
116,Customer 00116,+447700000116,Glasgow,2025-02-05,active
117,Customer 00117,+447700000117,Bristol,2025-11-25,blocked
118,Customer 00118,+447700000118,Sheffield,2025-06-19,active
119,Customer 00119,+447700000119,Manchester,2025-05-14,active
120,Customer 00120,+447700000120,Cardiff,2025-05-16,active
121,Customer 00121,+447700000121,Manchester,2025-11-02,blocked
122,Customer 00122,+447700000122,Bristol,2026-01-09,active
123,Customer 00123,+447700000123,Liverpool,2025-11-07,active
124,Customer 00124,+447700000124,Liverpool,2025-10-23,active
125,Customer 00125,+447700000125,Glasgow,2025-01-23,blocked
126,Customer 00126,+447700000126,London,2025-09-24,active
127,Customer 00127,+447700000127,Bristol,2025-08-09,active
128,Customer 00128,+447700000128,Bristol,2025-11-16,active
129,Customer 00129,+447700000129,Manchester,2026-01-04,active
130,Customer 00130,+447700000130,Sheffield,2025-06-08,blocked
131,Customer 00131,+447700000131,Bristol,2025-07-26,active
132,Customer 00132,+447700000132,Sheffield,2025-03-07,active
133,Customer 00133,+447700000133,Liverpool,2025-12-07,blocked
134,Customer 00134,+447700000134,Birmingham,2025-11-12,active
135,Customer 00135,+447700000135,Liverpool,2025-10-08,active
136,Customer 00136,+447700000136,Glasgow,2025-05-27,active
137,Customer 00137,+447700000137,Liverpool,2025-10-24,active
138,Customer 00138,+447700000138,Edinburgh,2025-08-15,blocked
139,Customer 00139,+447700000139,Leeds,2025-09-19,blocked
140,Customer 00140,+447700000140,Birmingham,2025-12-04,active
141,Customer 00141,+447700000141,Glasgow,2025-09-21,active
142,Customer 00142,+447700000142,Manchester,2026-01-20,active
143,Customer 00143,+447700000143,Glasgow,2025-04-26,active
144,Customer 00144,+447700000144,Birmingham,2025-01-13,active
145,Customer 00145,+447700000145,Leeds,2025-09-01,active
146,Customer 00146,+447700000146,Edinburgh,2025-08-01,active
147,Customer 00147,+447700000147,Liverpool,2025-09-11,blocked
148,Customer 00148,+447700000148,Leeds,2025-03-17,active
149,Customer 00149,+447700000149,Manchester,2026-02-03,blocked
150,Customer 00150,+447700000150,Leeds,2025-04-01,blocked
151,Customer 00151,+447700000151,London,2025-10-13,active
152,Customer 00152,+447700000152,Manchester,2025-08-22,active
153,Customer 00153,+447700000153,Edinburgh,2025-12-08,active
154,Customer 00154,+447700000154,Edinburgh,2025-11-10,blocked
155,Customer 00155,+447700000155,Sheffield,2025-08-17,active
156,Customer 00156,+447700000156,Edinburgh,2025-08-19,active
157,Customer 00157,+447700000157,Leeds,2025-11-23,active
158,Customer 00158,+447700000158,Sheffield,2025-09-06,active
159,Customer 00159,+447700000159,Glasgow,2025-08-14,active
160,Customer 00160,+447700000160,Glasgow,2025-05-01,active
161,Customer 00161,+447700000161,Bristol,2025-06-13,active
162,Customer 00162,+447700000162,Birmingham,2025-03-19,active
163,Customer 00163,+447700000163,Liverpool,2025-12-22,active
164,Customer 00164,+447700000164,Leeds,2025-02-02,blocked
165,Customer 00165,+447700000165,Liverpool,2025-06-19,blocked
166,Customer 00166,+447700000166,Liverpool,2025-02-01,active
167,Customer 00167,+447700000167,Liverpool,2025-07-19,active
168,Customer 00168,+447700000168,Cardiff,2025-07-14,blocked
169,Customer 00169,+447700000169,London,2025-06-30,active
170,Customer 00170,+447700000170,Liverpool,2025-08-03,active
171,Customer 00171,+447700000171,Edinburgh,2025-04-23,active
172,Customer 00172,+447700000172,Liverpool,2025-09-06,active
173,Customer 00173,+447700000173,Liverpool,2025-06-22,blocked
174,Customer 00174,+447700000174,Birmingham,2025-08-28,active
175,Customer 00175,+447700000175,Cardiff,2025-10-01,active
176,Customer 00176,+447700000176,Liverpool,2025-10-31,active
177,Customer 00177,+447700000177,Manchester,2025-11-26,blocked
178,Customer 00178,+447700000178,Birmingham,2025-08-25,active
179,Customer 00179,+447700000179,London,2025-05-14,blocked
180,Customer 00180,+447700000180,Bristol,2025-04-19,blocked
181,Customer 00181,+447700000181,Bristol,2025-06-22,blocked
182,Customer 00182,+447700000182,Glasgow,2026-01-21,blocked
183,Customer 00183,+447700000183,Glasgow,2025-02-11,blocked
184,Customer 00184,+447700000184,London,2026-01-19,active
185,Customer 00185,+447700000185,Bristol,2025-04-25,active
186,Customer 00186,+447700000186,London,2026-01-22,active
187,Customer 00187,+447700000187,Leeds,2025-04-13,active
188,Customer 00188,+447700000188,Cardiff,2025-03-20,active
189,Customer 00189,+447700000189,Birmingham,2025-08-31,active
190,Customer 00190,+447700000190,Cardiff,2025-04-22,blocked
191,Customer 00191,+447700000191,Glasgow,2026-01-28,active
192,Customer 00192,+447700000192,Birmingham,2025-11-07,active
193,Customer 00193,+447700000193,Birmingham,2025-06-09,active
194,Customer 00194,+447700000194,Cardiff,2025-01-14,active
195,Customer 00195,+447700000195,Cardiff,2025-12-13,blocked
196,Customer 00196,+447700000196,Liverpool,2026-01-02,active
197,Customer 00197,+447700000197,Manchester,2025-10-31,active
198,Customer 00198,+447700000198,Manchester,2025-12-23,active
199,Customer 00199,+447700000199,Cardiff,2025-03-03,active
200,Customer 00200,+447700000200,Bristol,2025-09-30,blocked
201,Customer 00201,+447700000201,Bristol,2025-02-05,active
202,Customer 00202,+447700000202,London,2025-08-04,blocked
203,Customer 00203,+447700000203,Manchester,2025-08-10,active
204,Customer 00204,+447700000204,Edinburgh,2025-12-29,active
205,Customer 00205,+447700000205,Liverpool,2025-04-01,active
206,Customer 00206,+447700000206,Cardiff,2025-10-03,blocked
207,Customer 00207,+447700000207,Edinburgh,2025-08-12,active
208,Customer 00208,+447700000208,Bristol,2025-05-06,active
209,Customer 00209,+447700000209,Glasgow,2025-08-19,active
210,Customer 00210,+447700000210,Edinburgh,2025-10-19,blocked
211,Customer 00211,+447700000211,Bristol,2025-01-15,blocked
212,Customer 00212,+447700000212,Bristol,2025-04-04,blocked
213,Customer 00213,+447700000213,Leeds,2025-07-01,active
214,Customer 00214,+447700000214,Bristol,2025-05-24,active
215,Customer 00215,+447700000215,Sheffield,2025-01-06,active
216,Customer 00216,+447700000216,Manchester,2025-05-04,blocked
217,Customer 00217,+447700000217,Edinburgh,2025-10-12,active
218,Customer 00218,+447700000218,Edinburgh,2025-11-27,blocked
219,Customer 00219,+447700000219,Edinburgh,2025-01-09,active
220,Customer 00220,+447700000220,Glasgow,2025-04-24,blocked
221,Customer 00221,+447700000221,Leeds,2025-06-06,active
222,Customer 00222,+447700000222,Edinburgh,2025-10-11,active
223,Customer 00223,+447700000223,Liverpool,2026-01-17,active
224,Customer 00224,+447700000224,Bristol,2025-12-26,blocked
225,Customer 00225,+447700000225,Glasgow,2025-06-06,active
226,Customer 00226,+447700000226,Leeds,2025-03-03,active
227,Customer 00227,+447700000227,Bristol,2025-03-03,active
228,Customer 00228,+447700000228,Leeds,2025-04-21,blocked
229,Customer 00229,+447700000229,Glasgow,2026-01-06,active
230,Customer 00230,+447700000230,Manchester,2025-04-10,active
231,Customer 00231,+447700000231,Leeds,2025-07-04,active
232,Customer 00232,+447700000232,Glasgow,2025-01-08,active
233,Customer 00233,+447700000233,Glasgow,2025-01-24,active
234,Customer 00234,+447700000234,Sheffield,2025-05-30,active
235,Customer 00235,+447700000235,Edinburgh,2025-02-22,active
236,Customer 00236,+447700000236,Cardiff,2025-05-26,blocked
237,Customer 00237,+447700000237,Edinburgh,2025-08-14,active
238,Customer 00238,+447700000238,Birmingham,2025-01-27,active
239,Customer 00239,+447700000239,Edinburgh,2025-02-28,active
240,Customer 00240,+447700000240,Liverpool,2025-09-09,active
241,Customer 00241,+447700000241,Cardiff,2025-11-19,active
242,Customer 00242,+447700000242,Birmingham,2025-03-18,active
243,Customer 00243,+447700000243,Manchester,2025-05-08,active
244,Customer 00244,+447700000244,Sheffield,2026-01-27,blocked
245,Customer 00245,+447700000245,Cardiff,2025-11-02,active
246,Customer 00246,+447700000246,Sheffield,2025-07-14,blocked
247,Customer 00247,+447700000247,Edinburgh,2025-06-02,blocked
248,Customer 00248,+447700000248,Glasgow,2025-10-19,active
249,Customer 00249,+447700000249,Cardiff,2026-01-14,active
250,Customer 00250,+447700000250,Leeds,2025-11-17,active
251,Customer 00251,+447700000251,Glasgow,2025-12-05,active
252,Customer 00252,+447700000252,Birmingham,2025-05-03,active
253,Customer 00253,+447700000253,Sheffield,2025-02-08,active
254,Customer 00254,+447700000254,London,2025-07-29,blocked
255,Customer 00255,+447700000255,Cardiff,2025-08-29,active
256,Customer 00256,+447700000256,London,2025-04-29,active
257,Customer 00257,+447700000257,Glasgow,2025-12-26,blocked
258,Customer 00258,+447700000258,Manchester,2025-12-18,active
259,Customer 00259,+447700000259,Glasgow,2025-11-17,active
260,Customer 00260,+447700000260,Liverpool,2025-02-28,active
261,Customer 00261,+447700000261,Birmingham,2025-05-17,active
262,Customer 00262,+447700000262,Manchester,2025-01-31,active
263,Customer 00263,+447700000263,Glasgow,2025-11-01,active
264,Customer 00264,+447700000264,Edinburgh,2025-03-05,blocked
265,Customer 00265,+447700000265,Glasgow,2025-12-25,blocked
266,Customer 00266,+447700000266,Glasgow,2025-09-14,blocked
267,Customer 00267,+447700000267,Edinburgh,2025-02-11,active
268,Customer 00268,+447700000268,Liverpool,2026-01-12,active
269,Customer 00269,+447700000269,Cardiff,2025-05-09,active
270,Customer 00270,+447700000270,Manchester,2025-04-28,active
271,Customer 00271,+447700000271,Glasgow,2025-10-23,active
272,Customer 00272,+447700000272,Birmingham,2025-08-29,blocked
273,Customer 00273,+447700000273,Glasgow,2025-04-03,blocked
274,Customer 00274,+447700000274,Edinburgh,2025-02-16,blocked
275,Customer 00275,+447700000275,Bristol,2025-07-29,active
276,Customer 00276,+447700000276,Bristol,2025-12-10,active
277,Customer 00277,+447700000277,Birmingham,2025-06-18,blocked
278,Customer 00278,+447700000278,Edinburgh,2025-05-28,blocked
279,Customer 00279,+447700000279,Sheffield,2025-01-19,blocked
280,Customer 00280,+447700000280,Manchester,2025-06-11,active
281,Customer 00281,+447700000281,Bristol,2025-03-01,blocked
282,Customer 00282,+447700000282,Sheffield,2025-01-01,blocked
283,Customer 00283,+447700000283,Liverpool,2025-01-28,active
284,Customer 00284,+447700000284,Sheffield,2025-07-05,blocked
285,Customer 00285,+447700000285,Edinburgh,2026-01-25,active
286,Customer 00286,+447700000286,Leeds,2025-05-17,active
287,Customer 00287,+447700000287,Glasgow,2025-08-13,blocked
288,Customer 00288,+447700000288,Manchester,2025-01-15,active
289,Customer 00289,+447700000289,Birmingham,2025-06-09,active
290,Customer 00290,+447700000290,Sheffield,2025-07-28,active
291,Customer 00291,+447700000291,Leeds,2025-02-28,blocked
292,Customer 00292,+447700000292,Manchester,2025-11-28,active
293,Customer 00293,+447700000293,Edinburgh,2026-01-02,active
294,Customer 00294,+447700000294,Sheffield,2025-12-28,active
295,Customer 00295,+447700000295,Liverpool,2025-09-05,blocked
296,Customer 00296,+447700000296,Leeds,2025-08-22,active
297,Customer 00297,+447700000297,Liverpool,2025-04-08,active
298,Customer 00298,+447700000298,Manchester,2025-05-22,blocked
299,Customer 00299,+447700000299,Bristol,2025-09-17,active
300,Customer 00300,+447700000300,London,2025-05-25,active
301,Customer 00301,+447700000301,Cardiff,2025-10-24,blocked
302,Customer 00302,+447700000302,Birmingham,2025-08-17,blocked
303,Customer 00303,+447700000303,Bristol,2025-06-20,blocked
304,Customer 00304,+447700000304,Edinburgh,2025-06-14,active
305,Customer 00305,+447700000305,Leeds,2025-10-20,blocked
306,Customer 00306,+447700000306,Leeds,2026-02-02,blocked
307,Customer 00307,+447700000307,London,2025-06-12,blocked
308,Customer 00308,+447700000308,Liverpool,2025-07-17,active
309,Customer 00309,+447700000309,Edinburgh,2025-01-19,active
310,Customer 00310,+447700000310,Sheffield,2025-10-30,active
311,Customer 00311,+447700000311,Manchester,2025-08-14,active
312,Customer 00312,+447700000312,Sheffield,2025-08-22,active
313,Customer 00313,+447700000313,Birmingham,2025-07-29,active
314,Customer 00314,+447700000314,Manchester,2025-08-29,active
315,Customer 00315,+447700000315,Bristol,2025-11-16,blocked
316,Customer 00316,+447700000316,Manchester,2025-06-18,blocked
317,Customer 00317,+447700000317,Bristol,2025-11-17,blocked
318,Customer 00318,+447700000318,Sheffield,2025-01-19,active
319,Customer 00319,+447700000319,Leeds,2025-11-20,active
320,Customer 00320,+447700000320,Leeds,2026-01-18,active
321,Customer 00321,+447700000321,Liverpool,2025-02-20,active
322,Customer 00322,+447700000322,Edinburgh,2025-03-27,active
323,Customer 00323,+447700000323,London,2025-01-24,active
324,Customer 00324,+447700000324,London,2025-05-31,active
325,Customer 00325,+447700000325,Bristol,2025-08-09,active
326,Customer 00326,+447700000326,Leeds,2025-09-29,blocked
327,Customer 00327,+447700000327,Cardiff,2025-12-16,active
328,Customer 00328,+447700000328,Birmingham,2025-03-31,active
329,Customer 00329,+447700000329,Cardiff,2025-07-15,active
330,Customer 00330,+447700000330,Edinburgh,2025-10-26,active
331,Customer 00331,+447700000331,Leeds,2025-08-25,active
332,Customer 00332,+447700000332,Edinburgh,2025-05-11,active
333,Customer 00333,+447700000333,Edinburgh,2025-05-28,active
334,Customer 00334,+447700000334,Manchester,2025-08-15,active
335,Customer 00335,+447700000335,Cardiff,2025-06-03,blocked
336,Customer 00336,+447700000336,Glasgow,2025-08-22,active
337,Customer 00337,+447700000337,Leeds,2025-07-16,blocked
338,Customer 00338,+447700000338,Manchester,2025-05-02,blocked
339,Customer 00339,+447700000339,Cardiff,2025-07-03,active
340,Customer 00340,+447700000340,Glasgow,2025-01-12,blocked
341,Customer 00341,+447700000341,Glasgow,2025-01-05,active
342,Customer 00342,+447700000342,Cardiff,2026-01-17,blocked
343,Customer 00343,+447700000343,Glasgow,2026-02-02,active
344,Customer 00344,+447700000344,Cardiff,2025-06-30,active
345,Customer 00345,+447700000345,Leeds,2025-11-14,active
346,Customer 00346,+447700000346,Birmingham,2025-11-18,active
347,Customer 00347,+447700000347,London,2025-06-08,blocked
348,Customer 00348,+447700000348,London,2025-10-24,active
349,Customer 00349,+447700000349,Birmingham,2025-02-16,active
350,Customer 00350,+447700000350,Bristol,2026-01-18,blocked
351,Customer 00351,+447700000351,Birmingham,2025-04-13,active
352,Customer 00352,+447700000352,Sheffield,2025-07-07,active
353,Customer 00353,+447700000353,Birmingham,2025-05-12,blocked
354,Customer 00354,+447700000354,Glasgow,2026-01-18,active
355,Customer 00355,+447700000355,Manchester,2025-08-28,active
356,Customer 00356,+447700000356,Birmingham,2026-01-22,active
357,Customer 00357,+447700000357,Liverpool,2025-10-13,active
358,Customer 00358,+447700000358,Manchester,2025-07-22,active
359,Customer 00359,+447700000359,Glasgow,2025-10-02,active
360,Customer 00360,+447700000360,Edinburgh,2025-07-08,active
361,Customer 00361,+447700000361,Cardiff,2025-07-15,active
362,Customer 00362,+447700000362,Manchester,2025-12-12,active
363,Customer 00363,+447700000363,Edinburgh,2025-01-13,active
364,Customer 00364,+447700000364,Cardiff,2025-04-24,active
365,Customer 00365,+447700000365,Edinburgh,2025-12-25,active
366,Customer 00366,+447700000366,Liverpool,2025-03-01,active
367,Customer 00367,+447700000367,London,2025-01-20,active
368,Customer 00368,+447700000368,Edinburgh,2025-03-01,active
369,Customer 00369,+447700000369,Leeds,2025-10-03,active
370,Customer 00370,+447700000370,Liverpool,2025-08-21,active
371,Customer 00371,+447700000371,Sheffield,2025-08-03,active
372,Customer 00372,+447700000372,Liverpool,2025-12-02,active
373,Customer 00373,+447700000373,Edinburgh,2025-11-12,blocked
374,Customer 00374,+447700000374,Glasgow,2025-01-17,active
375,Customer 00375,+447700000375,Leeds,2025-08-16,blocked
376,Customer 00376,+447700000376,Leeds,2025-07-05,active
377,Customer 00377,+447700000377,Bristol,2025-10-06,active
378,Customer 00378,+447700000378,London,2025-07-23,active
379,Customer 00379,+447700000379,Leeds,2025-03-04,blocked
380,Customer 00380,+447700000380,Manchester,2025-12-06,active
381,Customer 00381,+447700000381,Cardiff,2025-01-11,active
382,Customer 00382,+447700000382,Bristol,2025-05-05,active
383,Customer 00383,+447700000383,Cardiff,2025-04-16,active
384,Customer 00384,+447700000384,Sheffield,2025-04-17,active
385,Customer 00385,+447700000385,Leeds,2025-06-18,active
386,Customer 00386,+447700000386,Cardiff,2025-01-02,active
387,Customer 00387,+447700000387,Birmingham,2025-03-08,active
388,Customer 00388,+447700000388,Birmingham,2025-02-26,active
389,Customer 00389,+447700000389,Birmingham,2025-01-08,active
390,Customer 00390,+447700000390,Leeds,2025-10-29,active
391,Customer 00391,+447700000391,London,2025-03-31,active
392,Customer 00392,+447700000392,London,2025-03-06,blocked
393,Customer 00393,+447700000393,Sheffield,2025-02-28,active
394,Customer 00394,+447700000394,Edinburgh,2025-08-18,active
395,Customer 00395,+447700000395,Sheffield,2025-10-31,active
396,Customer 00396,+447700000396,Edinburgh,2025-09-15,active
397,Customer 00397,+447700000397,Cardiff,2025-01-23,active
398,Customer 00398,+447700000398,Edinburgh,2025-11-26,active
399,Customer 00399,+447700000399,London,2025-09-03,blocked
400,Customer 00400,+447700000400,Liverpool,2025-12-18,active
401,Customer 00401,+447700000401,Edinburgh,2025-12-31,blocked
402,Customer 00402,+447700000402,Manchester,2025-02-11,active
403,Customer 00403,+447700000403,Cardiff,2025-03-17,active
404,Customer 00404,+447700000404,Birmingham,2025-05-21,active
405,Customer 00405,+447700000405,Liverpool,2025-11-02,active
406,Customer 00406,+447700000406,Edinburgh,2025-09-16,blocked
407,Customer 00407,+447700000407,Manchester,2025-12-26,active
408,Customer 00408,+447700000408,Sheffield,2026-01-05,active
409,Customer 00409,+447700000409,Liverpool,2025-08-20,active
410,Customer 00410,+447700000410,Liverpool,2025-06-23,blocked
411,Customer 00411,+447700000411,Liverpool,2025-08-01,active
412,Customer 00412,+447700000412,Bristol,2025-08-07,active
413,Customer 00413,+447700000413,Glasgow,2025-07-11,active
414,Customer 00414,+447700000414,Edinburgh,2025-02-04,active
415,Customer 00415,+447700000415,Manchester,2025-02-17,blocked
416,Customer 00416,+447700000416,Manchester,2026-01-17,active
417,Customer 00417,+447700000417,Birmingham,2025-10-12,active
418,Customer 00418,+447700000418,Cardiff,2025-10-15,active
419,Customer 00419,+447700000419,Manchester,2025-07-30,active
420,Customer 00420,+447700000420,Liverpool,2026-01-05,active
421,Customer 00421,+447700000421,Glasgow,2025-11-04,active
422,Customer 00422,+447700000422,Bristol,2025-02-23,active
423,Customer 00423,+447700000423,Birmingham,2025-12-03,blocked
424,Customer 00424,+447700000424,Leeds,2025-02-25,active
425,Customer 00425,+447700000425,Sheffield,2025-07-08,active
426,Customer 00426,+447700000426,Glasgow,2025-10-21,active
427,Customer 00427,+447700000427,Liverpool,2025-10-15,active
428,Customer 00428,+447700000428,Cardiff,2025-12-03,active
429,Customer 00429,+447700000429,London,2025-04-03,active
430,Customer 00430,+447700000430,Glasgow,2025-06-23,active
431,Customer 00431,+447700000431,London,2025-04-03,active
432,Customer 00432,+447700000432,Cardiff,2025-12-03,blocked
433,Customer 00433,+447700000433,Manchester,2025-03-14,active
434,Customer 00434,+447700000434,Manchester,2026-01-18,active
435,Customer 00435,+447700000435,Liverpool,2025-08-03,blocked
436,Customer 00436,+447700000436,Bristol,2025-03-22,active
437,Customer 00437,+447700000437,Glasgow,2026-01-05,active
438,Customer 00438,+447700000438,Cardiff,2025-11-02,active
439,Customer 00439,+447700000439,London,2025-03-21,active
440,Customer 00440,+447700000440,Cardiff,2025-01-26,active
441,Customer 00441,+447700000441,Glasgow,2025-08-15,blocked
442,Customer 00442,+447700000442,Edinburgh,2025-11-07,blocked
443,Customer 00443,+447700000443,Liverpool,2025-05-20,active
444,Customer 00444,+447700000444,Sheffield,2025-02-28,active
445,Customer 00445,+447700000445,Liverpool,2025-02-26,active
446,Customer 00446,+447700000446,Cardiff,2025-09-07,active
447,Customer 00447,+447700000447,London,2025-04-23,blocked
448,Customer 00448,+447700000448,Cardiff,2025-01-29,active
449,Customer 00449,+447700000449,Leeds,2025-06-04,active
450,Customer 00450,+447700000450,Birmingham,2026-01-27,active
451,Customer 00451,+447700000451,Glasgow,2025-06-17,active
452,Customer 00452,+447700000452,London,2025-09-12,blocked
453,Customer 00453,+447700000453,Birmingham,2025-03-08,blocked
454,Customer 00454,+447700000454,Sheffield,2025-12-27,active
455,Customer 00455,+447700000455,Sheffield,2025-10-14,active
456,Customer 00456,+447700000456,Manchester,2025-07-23,active
457,Customer 00457,+447700000457,Liverpool,2025-01-10,blocked
458,Customer 00458,+447700000458,Manchester,2025-06-10,blocked
459,Customer 00459,+447700000459,Cardiff,2025-07-27,blocked
460,Customer 00460,+447700000460,Glasgow,2025-02-28,blocked
461,Customer 00461,+447700000461,London,2025-06-16,active
462,Customer 00462,+447700000462,Cardiff,2025-08-24,active
463,Customer 00463,+447700000463,Manchester,2025-08-12,active
464,Customer 00464,+447700000464,Leeds,2025-08-12,blocked
